Product Name,Sales,Profit,Profit Margin
Canon imageCLASS 2200 Advanced Copier,41999.880000000005,20159.9424,48.00000000000001
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",15749.91,5039.9712,32.0
"3D Systems Cube Printer, 2nd Generation, Magenta",14299.89,3717.9714000000004,26.0
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,13980.89,6990.445,50.0
High Speed Automatic Electric Letter Opener,13100.24,524.0096,4.0
Martin Yale Chadless Opener Electric Letter Opener,9993.720000000001,199.8744,2.0
GBC Ibimaster 500 Manual ProClick Binding System,9892.74,4946.37,50.0
Ibico EPK-21 Electric Binding System,9449.95,4630.4755,48.99999999999999
Tennsco 6- and 18-Compartment Lockers,9015.78,1622.8404,18.0
GBC DocuBind TL300 Electric Binding System,8969.9,4215.853,47.0
Logitech P710e Mobile Speakerphone,8754.66,1663.3854000000001,19.0
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,8418.2,2778.006,33.0
Hewlett Packard LaserJet 3310 Copier,8399.86,4031.9328,48.0
Plantronics CS510 - Over-the-Head monaural Wireless Headset System,7918.8,2613.204,33.0
Ativa V4110MDD Micro-Cut Shredder,7699.89,3772.9461,49.0
Zebra ZM400 Thermal Label Printer,6965.700000000001,3343.536,48.0
Plantronics Savi W720 Multi-Device Wireless Headset System,6329.25,2784.87,44.0
"Dual Level, Single-Width Filing Carts",6202.4,1612.624,26.0
"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",6148.56,307.428,5.0
Logitech diNovo Edge Keyboard,5999.76,1379.9448,23.0
Adjustable Depth Letter/Legal Cart,5988.18,1736.5722,29.0
"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",5906.52,1653.8256000000001,28.000000000000004
Tennsco Double-Tier Lockers,5850.52,760.5676000000001,13.0
Apple iPhone 5,5848.47,1579.0869,27.0
"Hot File 7-Pocket, Floor Stand",5711.04,1713.312,30.0
Logitech Z-906 Speaker sys - home theater - 5.1-CH,5609.83,2243.932,40.0
