Product Name,Sales,Profit
Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,-1811.0784
Canon imageCLASS 2200 Advanced Copier,12319.9648,5039.9856
Cubify CubeX 3D Printer Triple Head Print,7999.98,-3839.9904
"3D Systems Cube Printer, 2nd Generation, Magenta",7149.945,1858.9857000000002
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",6124.965,1364.9922
High Speed Automatic Electric Letter Opener,5676.770666666666,-87.33493333333335
Ibico EPK-21 Electric Binding System,5291.972000000001,1115.0941
Lexmark MX611dhe Monochrome Laser Printer,4207.47525,-1147.49325
Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,3991.98,1995.99
Okidata MB760 Printer,3917.2,440.685
Ativa V4110MDD Micro-Cut Shredder,3849.945,1886.47305
Cubify CubeX 3D Printer Double Head Print,3699.9876666666664,-2959.9901333333332
Zebra ZM400 Thermal Label Printer,3482.8500000000004,1671.768
Hewlett-Packard Desktjet 6988DT Refurbished Printer,3404.5,1668.205
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3122.19312,-133.90896000000004
Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer,3040.0,1459.2
GBC DocuBind P400 Electric Binding System,2994.178,-313.02770000000004
Canon PC1060 Personal Laser Copier,2904.9584999999997,1142.733675
Martin Yale Chadless Opener Electric Letter Opener,2776.0333333333333,-216.53060000000002
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,2745.3384,775.3039
HON 5400 Series Task Chairs for Big and Tall,2733.822,7.105427357601002e-15
Xerox WorkCentre 6505DN Laser Multifunction Printer,2519.958,-251.9958
Panasonic KX MB2061 Multifunction Printer,2396.4,179.73
Hewlett Packard LaserJet 3310 Copier,2354.96075,872.98545
Samsung Galaxy Mega 6.3,2323.9446666666668,303.79276666666664
Bady BDG101FRU Card Printer,2319.971,331.99585
Xiaomi Mi3,2279.96,592.7896
Samsung Galaxy Note 2,2253.951,-64.39859999999999
Apple iPhone 5,2166.1000000000004,268.5964
Cisco 9971 IP Video Phone Charcoal,2134.0,233.2
GBC Ibimaster 500 Manual ProClick Binding System,2113.8333333333335,84.55333333333328
Samsung Galaxy S4 Active,1999.96,519.9896
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,1983.5280000000002,-575.22312
Canon Image Class D660 Copier,1979.9669999999999,845.9859
"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",1968.8400000000001,551.2752
Zebra GX420t Direct Thermal/Thermal Transfer Printer,1929.118333333333,169.904
Canon PC940 Copier,1889.9579999999999,697.4845
DMI Eclipse Executive Suite Bookcases,1841.1015,15.029400000000003
GBC DocuBind TL300 Electric Binding System,1802.1344545454544,203.04591818181822
Canon Imageclass D680 Copier / Fax,1791.9743999999998,559.992
"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",1723.92,103.43520000000001
ClearOne CHATAttach 160 - speaker phone,1673.973,263.49575
Balt Solid Wood Round Tables,1629.6885,-300.264525
Hon Pagoda Stacking Chairs,1620.949,385.176
Sharp AL-1530CS Digital Copier,1599.968,516.239675
Smead Adjustable Mobile File Trolley with Lockable Top,1592.9219999999998,368.88719999999995
Tennsco 16-Compartment Lockers with Coat Rack,1503.1047999999998,222.87416
Canon PC1080F Personal Copier,1499.975,493.49177499999996
LG G2,1499.97,-374.9925
Hon 94000 Series Round Tables,1480.9,-136.2428
Logitech diNovo Edge Keyboard,1479.9407999999999,286.48854
Global Troy Executive Leather Low-Back Tilter,1441.709111111111,105.76244444444445
Nokia Lumia 1020,1439.968,143.9968
Okidata MB491 Multifunction Printer,1422.1499999999999,-217.065
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,1413.055,405.8775
Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,1408.725,-241.0485
Logitech Z-906 Speaker sys - home theater - 5.1-CH,1402.4575,560.983
Avaya IP Phone 1140E VoIP phone,1394.95,362.687
Cisco SPA525G2 5-Line IP Phone,1379.92,648.5624
Maxell iVDR EX 500GB Cartridge,1377.7,592.4110000000001
Bush Advantage Collection Racetrack Conference Table,1363.5321428571428,-276.3425142857143
Hon Olson Stacker Chairs,1356.9975,323.0316
Fellowes PB300 Plastic Comb Binding Machine,1345.032,419.67585
Plantronics Savi W720 Multi-Device Wireless Headset System,1338.1842857142856,528.0402857142857
Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,1285.0600000000002,501.17339999999996
Hewlett Packard 610 Color Digital Copier / Printer,1271.403142857143,446.41964285714283
Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1263.729,138.83220000000003
Samsung Galaxy S4,1226.9404,87.6386
Apple iPhone 5S,1225.4785000000002,128.24775
Samsung Galaxy S4 Mini,1221.974,220.8953
Global Comet Stacking Arm Chair,1216.8288,139.42829999999998
Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),1189.9660000000001,13.999600000000006
"3D Systems Cube Printer, 2nd Generation, White",1169.991,-233.9982
"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",1160.3632,-13.365440000000003
